Title,Start_Date,Link,End_Date,Query,Keywords
The FDA Continues to Remind Facilities of the Importance of Following Duodenoscope Reprocessing Instructions,,https://www.fda.gov/medical-devices/safety-communications/fda-continues-remind-facilities-importance-following-duodenoscope-reprocessing-instructions-fda,4/12/2019,DUODENOSCOPE REPROCESSING INSTRUCTIONS,"[' REMIND DUODENOSCOPE REPROCESSING', 'https://www.fda.gov/medical-devices/safety-communications/fda-continues-remind-facilities-importance-following-duodenoscope-reprocessing-instructions-fda']"
"The FDA Recommends Only Using Cleared or Approved Medical Devices to Help Assess or Diagnose a Head Injury, Including Concussion",,https://www.fda.gov/medical-devices/safety-communications/fda-recommends-only-using-cleared-or-approved-medical-devices-help-assess-or-diagnose-head-injury,4/10/2019,"APPROVED MEDICAL DEVICES CONCUSSION, CLEARED MEDICAL DEVICES CONCUSSION","[' RECOMMENDS DIAGNOSE CONCUSSION', 'https://www.fda.gov/medical-devices/safety-communications/fda-recommends-only-using-cleared-or-approved-medical-devices-help-assess-or-diagnose-head-injury']"
The FDA Warns Against Use of Previously Owned Test Strips or Test Strips Not Authorized for Sale in the United States,,https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-previously-owned-test-strips-or-test-strips-not-authorized-sale-united-states,4/8/2019,"PREVIOUSLY OWNED TEST STRIPS, TEST STRIPS NOT AUTHORIZED SALE","[' WARNS STRIPS AUTHORIZED', 'https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-previously-owned-test-strips-or-test-strips-not-authorized-sale-united-states']"
"Cybersecurity Vulnerabilities Affecting Medtronic Implantable Cardiac Devices, Programmers, and Home Monitors",,https://www.fda.gov/medical-devices/safety-communications/cybersecurity-vulnerabilities-affecting-medtronic-implantable-cardiac-devices-programmers-and-home,3/21/2019,CYBERSECURITY VULNERABILITIES MEDTRONIC IMPLANTABLE,"['CYBERSECURITY VULNERABILITIES MEDTRONIC IMPLANTABLE', 'https://www.fda.gov/medical-devices/safety-communications/cybersecurity-vulnerabilities-affecting-medtronic-implantable-cardiac-devices-programmers-and-home']"
UPDATE    Zoll LifeVest 4000 Wearable Cardioverter Defibrillator   Software Update for Potential Lack of Treatment (Shock) Delivery Due to Device Failure,,https://www.fda.gov/medical-devices/safety-communications/update-zoll-lifevest-4000-wearable-cardioverter-defibrillator-software-update-potential-lack,3/6/2019,ZOLL LIFEVEST CARDIOVERTER DEFIBRILLATOR DEVICE FAILURE,"['ZOLL LIFEVEST CARDIOVERTER DEFIBRILLATOR', 'https://www.fda.gov/medical-devices/safety-communications/update-zoll-lifevest-4000-wearable-cardioverter-defibrillator-software-update-potential-lack']"
Caution When Using Robotically Assisted Surgical Devices in Women's Health including Mastectomy and Other Cancer Related Surgeries,,https://www.fda.gov/medical-devices/safety-communications/caution-when-using-robotically-assisted-surgical-devices-womens-health-including-mastectomy-and,2/28/2019,"ROBOTICALLY MASTECTOMY, ROBOTICALLY MASTECTOMY, ROBOTIC MASTECTOMY, ROBOTIC MASTECTOMY","['ROBOTICALLY WOMENS MASTECTOMY SURGERIES', 'https://www.fda.gov/medical-devices/safety-communications/caution-when-using-robotically-assisted-surgical-devices-womens-health-including-mastectomy-and']"
"FDA Warns Thermography Should Not Be Used in Place of Mammography to Detect, Diagnose, or Screen for Breast Cancer",,https://www.fda.gov/medical-devices/safety-communications/fda-warns-thermography-should-not-be-used-place-mammography-detect-diagnose-or-screen-breast-cancer,2/25/2019,THERMOGRAPHY MAMMOGRAPHY BREAST CANCER,"['WARNS THERMOGRAPHY MAMMOGRAPHY DIAGNOSE', 'https://www.fda.gov/medical-devices/safety-communications/fda-warns-thermography-should-not-be-used-place-mammography-detect-diagnose-or-screen-breast-cancer']"
"Intravascular Air in Line and Air Embolism Risks Associated with Infusion Pumps, Fluid Warmers, and Rapid Infusers",,https://www.fda.gov/medical-devices/safety-communications/intravascular-air-line-and-air-embolism-risks-associated-infusion-pumps-fluid-warmers-and-rapid,1/31/2019,"INTRAVASCULAR AIR EMBOLISM PUMP, INTRAVASCULAR AIR EMBOLISM WARMER","['INTRAVASCULAR EMBOLISM WARMERS INFUSERS', 'https://www.fda.gov/medical-devices/safety-communications/intravascular-air-line-and-air-embolism-risks-associated-infusion-pumps-fluid-warmers-and-rapid']"
"FDA Warns Against Use of Teething Necklaces, Bracelets, and Other Jewelry Marketed for Relieving Teething Pain or Providing Sensory Stimulation",,https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-teething-necklaces-bracelets-and-other-jewelry-marketed-relieving-teething,12/20/2018,"TEETHING NECKLACES ISSUES, TEETHING NECKLACES PROBLEMS, TEETHING NECKLACES COMPLICATIONS, TEETHING NECKLACES WARNING","['TEETHING NECKLACES BRACELETS RELIEVING', 'https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-teething-necklaces-bracelets-and-other-jewelry-marketed-relieving-teething']"
The FDA Provides Interim Results of Duodenoscope Reprocessing Studies Conducted in Real World Settings,,https://www.fda.gov/medical-devices/safety-communications/fda-provides-interim-results-duodenoscope-reprocessing-studies-conducted-real-world-settings-fda,12/10/2018,"DUODENOSCOPE REPROCESSING STUDY, DUODENOSCOPE REPROCESSING STUDIES","[' INTERIM DUODENOSCOPE REPROCESSING', 'https://www.fda.gov/medical-devices/safety-communications/fda-provides-interim-results-duodenoscope-reprocessing-studies-conducted-real-world-settings-fda']"
