,id,permalink,username,text,date,retweets,favorites,hashtags,mentions,geo,keyword
0,1121801038938484736,https://twitter.com/hfcollaboratory/status/1121801038938484736,hfcollaboratory,@mpsotka @yaleHFdoc @ShashankSinhaMD @DukeHFDoc @JavedButler1 @jesse8850 @nih_nhlbi @US_FDA @AbbottCardio @Boehringer @EliLillyCo @CMSGov @Merck @Amgen @AstraZeneca @Bayer @Medtronic @windtreetx @Google,2019-04-26 11:39:44,0.0,4.0,,@mpsotka @yaleHFdoc @ShashankSinhaMD @DukeHFDoc @JavedButler1 @jesse8850 @nih_nhlbi @US_FDA @AbbottCardio @Boehringer @EliLillyCo @CMSGov @Merck @Amgen @AstraZeneca @Bayer @Medtronic @windtreetx @Google,,fda%20cybersecurity%20OR%20medtronic
1,1121769428864004096,https://twitter.com/AvhadPratik/status/1121769428864004096,AvhadPratik,The CfHS blog explores key takeaways from FDA workshop on achieving medical device safety and cybersecurity https:// deloi.tt/2DBwo6H,2019-04-26 09:34:07,0.0,0.0,,,,fda%20cybersecurity%20OR%20medtronic
2,1121448837971890177,https://twitter.com/Terri27903773/status/1121448837971890177,Terri27903773,"Medtronic , medical device manufacture, doesn’t care about your life nor mine! They produce faulty devices & don’t care if you take your own life. I am outraged & the fact that the FDA continues to let them get away with it! @FDADeviceInfo @MedtronicCEO",2019-04-25 12:20:13,0.0,2.0,,@FDADeviceInfo @MedtronicCEO,,fda%20cybersecurity%20OR%20medtronic
3,1121393728554401792,https://twitter.com/madhuritrivd/status/1121393728554401792,madhuritrivd,"2ofn - @SGottliebFDA Commissioner @US_FDA RESIGNED March 5 2019.He declined to INTERVIEW in December2017 for @generalelectric @GEHealthcare InsiteEXC-FRAUD -my story #Infosec #medicaldevices #cybersecurity to @chaincamera Kirby Dick,Amy Ziering @AmyHerdy http:// chaincamera.com",2019-04-25 08:41:14,0.0,0.0,#Infosec #medicaldevices #cybersecurity,@SGottliebFDA @US_FDA @generalelectric @GEHealthcare @chaincamera @AmyHerdy,,fda%20cybersecurity%20OR%20medtronic
4,1121373864922177536,https://twitter.com/madhuritrivd/status/1121373864922177536,madhuritrivd,"@SGottliebFDA Commissioner @US_FDA RESIGNED March5 2019.He declined to INTERVIEW on CAMERA in December2017 for @generalelectric @GEHealthcare InsiteEXC-FRAUD-my story #Infosec #medicaldevices #cybersecurity to @chaincamera Kirby Dick,Amy Ziering @AmyHerdy http:// chaincamera.com https:// twitter.com/madhuritrivd/s tatus/1100373664552402944 …",2019-04-25 07:22:18,1.0,0.0,#Infosec #medicaldevices #cybersecurity,@SGottliebFDA @US_FDA @generalelectric @GEHealthcare @chaincamera @AmyHerdy,,fda%20cybersecurity%20OR%20medtronic
5,1121170960839790592,https://twitter.com/cynergistek/status/1121170960839790592,cynergistek,CHIME Makes Recommendations On Medical Device Cybersecurity To FDA : https:// bit.ly/2XCEXpm,2019-04-24 17:56:02,0.0,2.0,,,,fda%20cybersecurity%20OR%20medtronic
6,1121162814058586112,https://twitter.com/jenpadberg/status/1121162814058586112,jenpadberg,Update on medical (health) device software by Lisa Simone of FDA and Patty Krantz-Zuppan of Medtronic . #ANSI -AAMI-SW91 #AAMITIR45 #IEC62304 #InternationalStandards19 pic.twitter.com/b0rZaYxTKP,2019-04-24 17:23:39,1.0,4.0,#ANSI #AAMITIR45 #IEC62304 #InternationalStandards19,,,fda%20cybersecurity%20OR%20medtronic
7,1121155187027193856,https://twitter.com/Keyfactor/status/1121155187027193856,Keyfactor,Listen to hear Keyfactor’s role in providing guidance to the FDA for cybersecurity requirements in medical devices: https:// hubs.ly/H0hvNk40 #IoMT #medicaldevicesecurity #IoTsecurity pic.twitter.com/hA3eiqua9k,2019-04-24 16:53:21,0.0,1.0,#IoMT #medicaldevicesecurity #IoTsecurity,,,fda%20cybersecurity%20OR%20medtronic
8,1121151271682048000,https://twitter.com/jenpadberg/status/1121151271682048000,jenpadberg,Worldwide cybersecurity standards and regulations update provided by Michelle Jump of Nova Leah and Suzanne Schwartz of FDA . #wannacrynomore #InternationalStandards19 #AAMITIR57 pic.twitter.com/fK8wooJLlh,2019-04-24 16:37:47,0.0,0.0,#wannacrynomore #InternationalStandards19 #AAMITIR57,,,fda%20cybersecurity%20OR%20medtronic
9,1121064177798455296,https://twitter.com/OmarFord1/status/1121064177798455296,OmarFord1,Edwards Lifesciences and Medtronic are no longer the only two companies with a TAVR device in the U.S and Europe. Boston Scientific has now secured FDA approval for its own TAVR device. https:// bit.ly/2IFwqOY,2019-04-24 10:51:43,0.0,0.0,,,,fda%20cybersecurity%20OR%20medtronic
10,1121062618511310854,https://twitter.com/redlionsec/status/1121062618511310854,redlionsec,Always an exciting win for #infosec when agencies coordinate their #cybersecurity efforts with industry folks. Think of how you can encourage more groups like the #FDA to come to #DefCon and other conferences to collaborate. #security #compliance #ESG https:// politi.co/2WON9U1,2019-04-24 10:45:31,0.0,0.0,#infosec #cybersecurity #FDA #DefCon #security #compliance #ESG,,,fda%20cybersecurity%20OR%20medtronic
11,1120710441997615105,https://twitter.com/theMedidex/status/1120710441997615105,theMedidex,"Electronic Health Records: Privacy, Confidentiality and Security Tips . . . https://www. medidexhealth.com/blog/ehr/ehr-s ecurity-privacy-confidentiality/ … . . . #EHR #Healthcare #Privacy #Security #DataBreach #CyberSecurity #HealthData #PHI #PHR #HIPAA #IoT #HealthTech #mHealth #FDA #DigitalHealth #HealthIT #Technology",2019-04-23 11:26:05,2.0,1.0,#EHR #Healthcare #Privacy #Security #DataBreach #CyberSecurity #HealthData #PHI #PHR #HIPAA #IoT #HealthTech #mHealth #FDA #DigitalHealth #HealthIT #Technology,,,fda%20cybersecurity%20OR%20medtronic
12,1120703874434764805,https://twitter.com/TraceSecurity/status/1120703874434764805,TraceSecurity,FDA and Homeland Security released an alert that revealed a serious vulnerability in thousands of Medtronic devices could allow a hacker to take control of an implanted device: https:// hubs.ly/H0hxTY60 #TraceSecurityBlog #Cybersecurity #TraceSecurity #DailyBreach pic.twitter.com/pg24tirJbk,2019-04-23 10:59:59,0.0,0.0,#TraceSecurityBlog #Cybersecurity #TraceSecurity #DailyBreach,,,fda%20cybersecurity%20OR%20medtronic
13,1120655448573652992,https://twitter.com/jjfeds/status/1120655448573652992,jjfeds,Bravo @US_FDA @JNJInnovation @Medtronic @Yale @hugohealth for your work together!,2019-04-23 07:47:34,0.0,0.0,,@US_FDA @JNJInnovation @Medtronic @Yale @hugohealth,,fda%20cybersecurity%20OR%20medtronic
14,1120497364635127809,https://twitter.com/ProfessorMac/status/1120497364635127809,ProfessorMac,"Back between 1994-1999, after working in field and becoming a patient - I took a #Healthcare #patientsafety issue with CNS shunts for hydrocephalus as far as anyone could, to FDA & Wash D.C., with a petition, conference & #mhealth sol. Then saw it all buried for Medtronic IPO!",2019-04-22 21:19:24,0.0,0.0,#Healthcare #patientsafety #mhealth,,,fda%20cybersecurity%20OR%20medtronic
15,1120386565727870976,https://twitter.com/ProfessorMac/status/1120386565727870976,ProfessorMac,"I've had 12 brain surgeries w mostly defective CNS shunts. Led me to become patient advocate & petition FDA , introduce mhealth app solution, and write new FDA guidance. FDA granted my petition, but withheld it from Federal Register & during Sept 1998 Medtronic IPO. Blackballed!",2019-04-22 13:59:07,0.0,0.0,,,,fda%20cybersecurity%20OR%20medtronic
16,1120311548885577734,https://twitter.com/analucia_B2B/status/1120311548885577734,analucia_B2B,"Segurança de Endpoints, um aspecto vital em todos os setores! @CryptoID #SegurançaDigital #Endpoint #Healthcare #FDA #CyberSecurity #Criptografia #GlobalSign #BrasilDigital #GlobalSignLATAM #LATAM #Channel #ClobalSignPartner @analucia_B2B https:// okt.to/oKPnDa pic.twitter.com/zYXkZpMMQ5",2019-04-22 09:01:02,0.0,0.0,#Seguran #Endpoint #Healthcare #FDA #CyberSecurity #Criptografia #GlobalSign #BrasilDigital #GlobalSignLATAM #LATAM #Channel #ClobalSignPartner,@CryptoID @analucia_B2B,,fda%20cybersecurity%20OR%20medtronic
17,1120044047073206272,https://twitter.com/3dheals/status/1120044047073206272,3dheals,3D printing poses unique security risks for medical devices @3dheals #3dprinting #cybersecurity #seurityrisks #FDA #HIPAA #healthcare #innovations #legal #RiskAssessment #Technology #JoinTheTribe ⠀ https:// buff.ly/2UJRlHb http:// bit.ly/2L7ZP6P pic.twitter.com/h1YtEoPZRn,2019-04-21 15:18:04,0.0,1.0,#3dprinting #cybersecurity #seurityrisks #FDA #HIPAA #healthcare #innovations #legal #RiskAssessment #Technology #JoinTheTribe,@3dheals,,fda%20cybersecurity%20OR%20medtronic
18,1120041519250059265,https://twitter.com/3dheals/status/1120041519250059265,3dheals,3D printing poses unique security risks for medical devices @3dheals #3dprinting #cybersecurity #seurityrisks #FDA #HIPAA #healthcare #innovations #legal #RiskAssessment #Technology #JoinTheTribe ⠀ https:// buff.ly/2UJRlHb http:// bit.ly/2L7ZP6P pic.twitter.com/bmQ3HuklCm,2019-04-21 15:08:02,0.0,2.0,#3dprinting #cybersecurity #seurityrisks #FDA #HIPAA #healthcare #innovations #legal #RiskAssessment #Technology #JoinTheTribe,@3dheals,,fda%20cybersecurity%20OR%20medtronic
19,1119578859744256000,https://twitter.com/alternateal/status/1119578859744256000,alternateal,One will be FDA regulated and at this point work with Omnipod Dash pump; the other will not be regulated and you will have to build yourself and will work in conjunction with a RileyLink with old Medtronic pumps and Omnipod Eros,2019-04-20 08:29:35,2.0,4.0,,,,fda%20cybersecurity%20OR%20medtronic
20,1119564842757701632,https://twitter.com/capemaypete/status/1119564842757701632,capemaypete,Value based health care? You mean health care where patients don’t pay for both the medical care and your insane profits? So Medicare for All. And go fuck your over priced machines that in 2 years will be recalled because it killed people who where dumb enough to trust the FDA,2019-04-20 07:33:53,0.0,0.0,,,,fda%20cybersecurity%20OR%20medtronic
21,1119332355108474880,https://twitter.com/bdmoyer/status/1119332355108474880,bdmoyer,FDA cybersecurity guidance draws fire from big device makers https://www. medtechdive.com/news/fda-cyber security-guidance-draws-fire-from-big-device-makers/550805/ … via @MedTechDive,2019-04-19 16:10:04,0.0,2.0,,@MedTechDive,,fda%20cybersecurity%20OR%20medtronic
22,1119227406156468224,https://twitter.com/analucia_B2B/status/1119227406156468224,analucia_B2B,"Segurança de Endpoints, um aspecto vital em todos os setores! @CryptoID - Portal sobre Criptografia e Identificação Digital #SegurançaDigital #Endpoint #Healthcare #FDA #SID2019 #CyberSecurity #Criptografia #GlobalSign #BrasilDigital https:// okt.to/p2cFE5 pic.twitter.com/hHT9sU5ShK",2019-04-19 09:13:02,0.0,0.0,#Seguran #Endpoint #Healthcare #FDA #SID2019 #CyberSecurity #Criptografia #GlobalSign #BrasilDigital,@CryptoID,,fda%20cybersecurity%20OR%20medtronic
23,1118593533093584896,https://twitter.com/ARC_MedSec/status/1118593533093584896,ARC_MedSec,Currently hosting a Medical Device #Cybersecurity Expectations talk part 1 @UMNDMD with our member organization @bostonsci our friends @US_FDA and our upcoming #medsecleaders2019 Workshop sponsor @DeloitteUS . #iot #medicaldevicesecurity,2019-04-17 15:14:15,2.0,2.0,#Cybersecurity #medsecleaders2019 #iot #medicaldevicesecurity,@UMNDMD @bostonsci @US_FDA @DeloitteUS,,fda%20cybersecurity%20OR%20medtronic
24,1118414756128464896,https://twitter.com/IKORGrupo/status/1118414756128464896,IKORGrupo,"The #FDA published an updated draft of Premarket Cybersecurity Guidance on October 2018. As part of the updates, the FDA introduced the concept of cybersecurity bill of materials (CBOM) for medical devices #Medicaldevices https://www. meddeviceonline.com/doc/cybersecur ity-bill-of-materials-for-medical-devices-what-s-next-0001 …",2019-04-17 03:23:51,0.0,0.0,#FDA #Medicaldevices,,,fda%20cybersecurity%20OR%20medtronic
25,1118401392828407808,https://twitter.com/24x7esubmission/status/1118401392828407808,24x7esubmission,#Medtronic #Ventilator Recalled by FDA for Software Update http:// bit.ly/2CJg1DQ pic.twitter.com/8HojyOmSn7,2019-04-17 02:30:45,0.0,0.0,#Medtronic #Ventilator,,,fda%20cybersecurity%20OR%20medtronic
26,1118220074517708800,https://twitter.com/BrianSappRVT/status/1118220074517708800,BrianSappRVT,"@PalmettoGBA The data is fantastic. 3 year data is published, 5 year data was released a few days ago. What is the reason you state not enough data. Is @MedicareGov ignoring @US_FDA @Medtronic and #science ? https:// twitter.com/Saphenion/stat us/1118203128879493121 …",2019-04-16 14:30:15,0.0,0.0,#science,@PalmettoGBA @MedicareGov @US_FDA @Medtronic,,fda%20cybersecurity%20OR%20medtronic
