Title,Keywords,Start_Date
"Controlled Substance Lock-In Programs, Examining An Unintended Consequence Of A Prescription Drug Abuse Policy",CONTROLLED SUBSTANCE LOCK-IN,
A Promising Approach For Emergency Departments To Care For Patients With Substance Use And Behavioral Disorders,"EMERGENCY CARE SUBSTANCE ABUSE DISORDER, EMERGENCY CARE SUBSTANCE ABUSE DISORDERS, EMERGENCY CARE BEHAVIORAL DISORDER, EMERGENCY CARE BEHAVIORAL DISORDERS",
Medication Treatment For Opioid Use Disorders In Substance Use Treatment Facilities,MEDICATION TREATMENT OPIOID SUBSTANCE USE,
Prescription Drug Monitoring Programs Are Associated With Sustained Reductions In Opioid Prescribing By Physicians,"PRESCRIPTION DRUG MONITORING PROGRAM REDUCTION, PRESCRIPTION DRUG MONITORING PROGRAMS REDUCTION",
"Individual Placement And Support Services Boost Employment For People With Serious Mental Illnesses, But Funding Is Lacking",PLACEMENT SUPPORT SERVICES MENTAL ILLNESSES,
Innovative Population Health Model Associated With Reduced Emergency Department Use And Inpatient Hospitalizations,POPULATION HEALTH MODEL EMERGENCY INPATIENT,
A Promising Approach For Emergency Departments To Care For Patients With Substance Use And Behavioral Disorders,"EMERGENCY CARE SUBSTANCE USE DISORDER, EMERGENCY CARE BEHAVIORAL DISORDER",
Transitional Care Cut Hospital Readmissions For North Carolina Medicaid Patients With Complex Chronic Conditions,TRANSITIONAL CARE READMISSIONS CHRONIC,
An Electronic Health Recordâ€“Based Real-Time Analytics Program For Patient Safety Surveillance And Improvement,EHR ANALYTICS PATIENT SAFETY,
Legacy Healthâ€™s â€˜Big Aimsâ€™ Initiative To Improve Patient Safety Reduced Rates Of Infection And Mortality Among Patients,LEGACY HEALTH PATIENT SAFETY,
Medication Synchronization Programs Improve Adherence To Cardiovascular Medications And Health Care Use,MEDICATION SYNCHRONIZATION ADHERENCE CARDIOVASCULAR ,
The Large Social Value Resulting From Use Of Statins Warrants Steps To Improve Adherence And Broaden Treatment,STATINS WARRANTS ADHERENCE,
An Integrated Pharmacy-Based Program Improved Medication Prescription And Adherence Rates In Diabetes Patients,PHARMACY MEDICATION PRESCRIPTION ADHERENCE,
The Effect Of The Hospital Readmissions Reduction Program On Readmission And Observation Stay Rates For Heart Failure,HOSPITAL READMISSIONS REDUCTION PROGRAM,
Reducing Hospital Readmissions Through Preferred Networks Of Skilled Nursing Facilities,SKILLED NURSING READMISSIONS,
Hospitals With Higher Nurse Staffing Had Lower Odds Of Readmissions Penalties Than Hospitals With Lower Staffing,STAFFING READMISSIONS PENALTIES,
Association Of A Regional Health Improvement Collaborative With Ambulatory Careâ€“Sensitive Hospitalizations,IMPROVEMENT COLLABORATIVE HOSPITALIZATIONS,
Initiative To Reduce Avoidable Hospitalizations Among Nursing Facility Residents Shows Promising Results,AVOIDABLE HOSPITALIZATIONS NURSING,
Results From A Patient-Centered Medical Home Pilot At UPMC Health Plan Hold Lessons For Broader Adoption Of The Model,PATIENT-CENTERED HEALTH PLAN MODEL,
Home-Based Care Program Reduces Disability And Promotes Aging In Place,HOME-BASED CARE PROGRAM DISABILITY AGING,
Advance Directives And Nursing Home Stays Associated With Less Aggressive End-Of-Life Care For Patients With Severe Dementia,"ADVANCE DIRECTIVES DEMENTIA, NURSING HOME END-OF-LIFE CARE DEMENTIA",
Integrated Telehealth And Care Management Program For Medicare Beneficiaries With Chronic Disease Linked To Savings,TELEHEALTH MEDICARE CHRONIC,
Remote Patient Management: Technology-Enabled Innovation And Evolving Business Models For Chronic Disease Care,REMOTE PATIENT MANAGEMENT CHRONIC,
What Works In Chronic Care Management: The Case Of Heart Failure,CHRONIC CARE MANAGEMENT HEART FAILURE,
"How Kaiser Permanente Uses Video Ethnography Of Patients For Quality Improvement, Such As In Shaping Better Care Transitions",VIDEO ETHNOGRAPHY TRANSITIONS,
Coordination Program Reduced Acute Care Use And Increased Primary Care Visits Among Frequent Emergency Care Users,COORDINATION ACUTE PRIMARY VISITS,
Healthy Aging Brain Center Improved Care Coordination And Produced Net Savings,HEALTHY AGING BRAIN COORDINATION,
Improving The Coordination Of Care For Medicaid Beneficiaries In Pennsylvania,IMPROVE CARE COORDINATION MEDICAID,
The Effect Of A Newborn Telehealth Program On Transfers Avoided: A Multiple-Baseline Study,NEWBORN TELEHEALTH TRANSFERS,
